"year";"month";"product_id";"product_name";"revenue";"abc_class";"stab_percent";"product_dinamic"
1997.0;6.0;51;Manjimup Dried Apples;4929;A;"72%";Волатильный товар
1997.0;8.0;51;Manjimup Dried Apples;795;A;-84%;Одноразовый хит
1997.0;9.0;51;Manjimup Dried Apples;2120;A;"167%";Одноразовый хит
1997.0;10.0;51;Manjimup Dried Apples;1855;A;-12%;Одноразовый хит
1997.0;11.0;51;Manjimup Dried Apples;1590;A;-14%;Одноразовый хит
1997.0;12.0;51;Manjimup Dried Apples;9964;A;"527%";Одноразовый хит
1998.0;1.0;51;Manjimup Dried Apples;689;B;-93%;Одноразовый хит
1998.0;2.0;51;Manjimup Dried Apples;106;C;-85%;Одноразовый хит
1998.0;3.0;51;Manjimup Dried Apples;3922;A;"3600%";Волатильный товар
1998.0;4.0;51;Manjimup Dried Apples;7049;A;"80%";Волатильный товар
1996.0;10.0;52;Filo Mix;157;C;"0%";Товар без спроса
1996.0;12.0;52;Filo Mix;112;C;-29%;Одноразовый хит
1997.0;2.0;52;Filo Mix;196;C;"75%";Одноразовый хит
1997.0;4.0;52;Filo Mix;42;C;-79%;Одноразовый хит
1997.0;6.0;52;Filo Mix;700;B;"1567%";Одноразовый хит
1997.0;7.0;52;Filo Mix;196;C;-72%;Одноразовый хит
1997.0;8.0;52;Filo Mix;35;C;-82%;Одноразовый хит
1997.0;9.0;52;Filo Mix;63;C;"80%";Одноразовый хит
1997.0;10.0;52;Filo Mix;28;C;-56%;Одноразовый хит
1997.0;11.0;52;Filo Mix;721;A;"2475%";Одноразовый хит
1997.0;12.0;52;Filo Mix;161;C;-78%;Одноразовый хит
1998.0;1.0;52;Filo Mix;196;C;"22%";Одноразовый хит
1998.0;2.0;52;Filo Mix;98;C;-50%;Одноразовый хит
1998.0;3.0;52;Filo Mix;441;C;"350%";Одноразовый хит
1998.0;4.0;52;Filo Mix;224;C;-49%;Одноразовый хит
1998.0;5.0;52;Filo Mix;14;C;-94%;Товар без спроса
1996.0;7.0;53;Perth Pasties;393;B;"0%";Волатильный товар
1996.0;8.0;53;Perth Pasties;943;A;"140%";Волатильный товар
1996.0;9.0;53;Perth Pasties;786;A;-17%;Одноразовый хит
1996.0;12.0;53;Perth Pasties;3406;A;"333%";Одноразовый хит
1997.0;1.0;53;Perth Pasties;655;B;-81%;Одноразовый хит
1997.0;2.0;53;Perth Pasties;1703;A;"160%";Одноразовый хит
1997.0;3.0;53;Perth Pasties;734;A;-57%;Одноразовый хит
1997.0;4.0;53;Perth Pasties;689;B;-6%;Одноразовый хит
1997.0;6.0;53;Perth Pasties;1410;A;"105%";Одноразовый хит
1997.0;8.0;53;Perth Pasties;1214;A;-14%;Одноразовый хит
1997.0;9.0;53;Perth Pasties;328;C;-73%;Одноразовый хит
1997.0;10.0;53;Perth Pasties;4034;A;"1130%";Одноразовый хит
1998.0;1.0;53;Perth Pasties;951;B;-76%;Одноразовый хит
1998.0;2.0;53;Perth Pasties;98;C;-90%;Одноразовый хит
1998.0;3.0;53;Perth Pasties;722;B;"633%";Волатильный товар
1998.0;4.0;53;Perth Pasties;2624;A;"264%";Волатильный товар
1998.0;5.0;53;Perth Pasties;820;A;-69%;Одноразовый хит
1996.0;8.0;54;Tourtière;59;C;"0%";Товар без спроса
1996.0;9.0;54;Tourtière;30;C;-50%;Одноразовый хит
1996.0;10.0;54;Tourtière;89;C;"200%";Волатильный товар
1996.0;11.0;54;Tourtière;673;B;"660%";Волатильный товар
1996.0;12.0;54;Tourtière;59;C;-91%;Одноразовый хит
1997.0;1.0;54;Tourtière;271;C;"360%";Волатильный товар
1997.0;2.0;54;Tourtière;596;B;"120%";Волатильный товар
1997.0;3.0;54;Tourtière;142;C;-76%;Одноразовый хит
1997.0;4.0;54;Tourtière;149;C;"5%";Волатильный товар
1997.0;5.0;54;Tourtière;365;B;"145%";Якорный товар
1997.0;7.0;54;Tourtière;402;B;"10%";Волатильный товар
1997.0;8.0;54;Tourtière;223;C;-44%;Одноразовый хит
1997.0;9.0;54;Tourtière;268;C;"20%";Волатильный товар
1997.0;10.0;54;Tourtière;857;B;"219%";Волатильный товар
1997.0;12.0;54;Tourtière;142;C;-83%;Одноразовый хит
1998.0;1.0;54;Tourtière;261;C;"84%";Волатильный товар
1998.0;2.0;54;Tourtière;313;C;"20%";Волатильный товар
1998.0;4.0;54;Tourtière;74;C;-76%;Одноразовый хит
1998.0;5.0;54;Tourtière;149;B;"100%";Одноразовый хит
1996.0;7.0;55;Pâté chinois;403;B;"0%";Товар без спроса
1996.0;8.0;55;Pâté chinois;384;B;-5%;Одноразовый хит
1996.0;10.0;55;Pâté chinois;768;B;"100%";Одноразовый хит
1996.0;11.0;55;Pâté chinois;230;C;-70%;Одноразовый хит
1996.0;12.0;55;Pâté chinois;2592;A;"1025%";Одноразовый хит
1997.0;1.0;55;Pâté chinois;192;C;-93%;Одноразовый хит
1997.0;2.0;55;Pâté chinois;3456;A;"1700%";Одноразовый хит
1997.0;3.0;55;Pâté chinois;614;A;-82%;Одноразовый хит
1997.0;5.0;55;Pâté chinois;336;B;-45%;Одноразовый хит
1997.0;6.0;55;Pâté chinois;1032;A;"207%";Одноразовый хит
1997.0;7.0;55;Pâté chinois;600;B;-42%;Одноразовый хит
1997.0;8.0;55;Pâté chinois;288;C;-52%;Товар без спроса
1997.0;9.0;55;Pâté chinois;96;C;-67%;Одноразовый хит
1997.0;10.0;55;Pâté chinois;648;B;"575%";Одноразовый хит
1997.0;11.0;55;Pâté chinois;288;C;-56%;Одноразовый хит
1997.0;12.0;55;Pâté chinois;1440;A;"400%";Одноразовый хит
1998.0;2.0;55;Pâté chinois;960;B;-33%;Одноразовый хит
1998.0;3.0;55;Pâté chinois;696;B;-28%;Одноразовый хит
1998.0;4.0;55;Pâté chinois;4344;A;"524%";Одноразовый хит
1998.0;5.0;55;Pâté chinois;144;C;-97%;Одноразовый хит
1996.0;7.0;56;Gnocchi di nonna Alice;61;C;"0%";Волатильный товар
1996.0;9.0;56;Gnocchi di nonna Alice;730;A;"1100%";Волатильный товар
1996.0;10.0;56;Gnocchi di nonna Alice;365;B;-50%;Одноразовый хит
1996.0;11.0;56;Gnocchi di nonna Alice;608;B;"67%";Волатильный товар
1996.0;12.0;56;Gnocchi di nonna Alice;1155;A;"90%";Якорный товар
1997.0;1.0;56;Gnocchi di nonna Alice;3192;A;"176%";Волатильный товар
1997.0;2.0;56;Gnocchi di nonna Alice;2523;A;-21%;Одноразовый хит
1997.0;3.0;56;Gnocchi di nonna Alice;1520;A;-40%;Одноразовый хит
1997.0;4.0;56;Gnocchi di nonna Alice;5518;A;"263%";Одноразовый хит
1997.0;5.0;56;Gnocchi di nonna Alice;1140;A;-79%;Одноразовый хит
1997.0;6.0;56;Gnocchi di nonna Alice;3800;A;"233%";Одноразовый хит
1997.0;7.0;56;Gnocchi di nonna Alice;1786;A;-53%;Одноразовый хит
1997.0;8.0;56;Gnocchi di nonna Alice;3040;A;"70%";Одноразовый хит
1997.0;9.0;56;Gnocchi di nonna Alice;2166;A;-29%;Одноразовый хит
1997.0;10.0;56;Gnocchi di nonna Alice;2584;A;"19%";Волатильный товар
1997.0;11.0;56;Gnocchi di nonna Alice;3686;A;"43%";Якорный товар
1997.0;12.0;56;Gnocchi di nonna Alice;3800;A;"3%";Якорный товар
1998.0;1.0;56;Gnocchi di nonna Alice;3952;A;"4%";Волатильный товар
1998.0;2.0;56;Gnocchi di nonna Alice;1406;A;-64%;Товар без спроса
1998.0;3.0;56;Gnocchi di nonna Alice;1140;B;-19%;Товар без спроса
1998.0;4.0;56;Gnocchi di nonna Alice;950;B;-17%;Товар без спроса
1996.0;7.0;57;Ravioli Angelo;1014;A;"0%";Товар без спроса
1996.0;8.0;57;Ravioli Angelo;31;C;-97%;Одноразовый хит
1996.0;10.0;57;Ravioli Angelo;250;C;"700%";Волатильный товар
1996.0;11.0;57;Ravioli Angelo;780;B;"212%";Волатильный товар
1997.0;1.0;57;Ravioli Angelo;312;C;-60%;Одноразовый хит
1997.0;2.0;57;Ravioli Angelo;234;C;-25%;Товар без спроса
1997.0;5.0;57;Ravioli Angelo;98;C;-58%;Одноразовый хит
1997.0;6.0;57;Ravioli Angelo;195;C;"100%";Волатильный товар
1997.0;7.0;57;Ravioli Angelo;390;C;"100%";Якорный товар
1997.0;10.0;57;Ravioli Angelo;780;B;"100%";Волатильный товар
1997.0;11.0;57;Ravioli Angelo;273;C;-65%;Одноразовый хит
1998.0;1.0;57;Ravioli Angelo;1248;A;"357%";Одноразовый хит
1998.0;2.0;57;Ravioli Angelo;390;C;-69%;Одноразовый хит
1998.0;3.0;57;Ravioli Angelo;878;B;"125%";Волатильный товар
1998.0;4.0;57;Ravioli Angelo;936;B;"7%";Волатильный товар
1996.0;9.0;58;Escargots de Bourgogne;318;C;"0%";Волатильный товар
1996.0;10.0;58;Escargots de Bourgogne;318;B;"0%";Якорный товар
1996.0;12.0;58;Escargots de Bourgogne;1007;A;"217%";Волатильный товар
1997.0;5.0;58;Escargots de Bourgogne;265;C;-74%;Одноразовый хит
1997.0;7.0;58;Escargots de Bourgogne;398;B;"50%";Одноразовый хит
1997.0;8.0;58;Escargots de Bourgogne;80;C;-80%;Одноразовый хит
1997.0;9.0;58;Escargots de Bourgogne;1047;A;"1217%";Одноразовый хит
1997.0;10.0;58;Escargots de Bourgogne;556;B;-47%;Одноразовый хит
1998.0;1.0;58;Escargots de Bourgogne;1192;A;"114%";Одноразовый хит
1998.0;2.0;58;Escargots de Bourgogne;556;B;-53%;Одноразовый хит
1998.0;3.0;58;Escargots de Bourgogne;398;C;-29%;Одноразовый хит
1998.0;4.0;58;Escargots de Bourgogne;530;C;"33%";Одноразовый хит
1996.0;7.0;59;Raclette Courdavault;4400;A;"0%";Товар без спроса
1996.0;8.0;59;Raclette Courdavault;924;A;-79%;Одноразовый хит
1996.0;9.0;59;Raclette Courdavault;1760;A;"90%";Волатильный товар
1996.0;10.0;59;Raclette Courdavault;2552;A;"45%";Волатильный товар
1996.0;12.0;59;Raclette Courdavault;528;B;-79%;Одноразовый хит
1997.0;1.0;59;Raclette Courdavault;5060;A;"858%";Одноразовый хит
1997.0;2.0;59;Raclette Courdavault;1584;A;-69%;Одноразовый хит
1997.0;3.0;59;Raclette Courdavault;7128;A;"350%";Одноразовый хит
1997.0;4.0;59;Raclette Courdavault;220;C;-97%;Одноразовый хит
1997.0;5.0;59;Raclette Courdavault;935;A;"325%";Волатильный товар
1997.0;6.0;59;Raclette Courdavault;2860;A;"206%";Якорный товар
1997.0;7.0;59;Raclette Courdavault;4675;A;"63%";Волатильный товар
1997.0;9.0;59;Raclette Courdavault;715;B;-85%;Одноразовый хит
1997.0;10.0;59;Raclette Courdavault;6050;A;"746%";Одноразовый хит
1997.0;11.0;59;Raclette Courdavault;5115;A;-15%;Одноразовый хит
1997.0;12.0;59;Raclette Courdavault;3575;A;-30%;Одноразовый хит
1998.0;1.0;59;Raclette Courdavault;8085;A;"126%";Одноразовый хит
1998.0;2.0;59;Raclette Courdavault;2200;A;-73%;Одноразовый хит
1998.0;3.0;59;Raclette Courdavault;220;C;-90%;Одноразовый хит
1998.0;4.0;59;Raclette Courdavault;17710;A;"7950%";Одноразовый хит
1996.0;7.0;60;Camembert Pierrot;1088;A;"0%";Волатильный товар
1996.0;8.0;60;Camembert Pierrot;2067;A;"90%";Якорный товар
1996.0;11.0;60;Camembert Pierrot;3890;A;"88%";Волатильный товар
1996.0;12.0;60;Camembert Pierrot;3019;A;-22%;Одноразовый хит
1997.0;1.0;60;Camembert Pierrot;1632;A;-46%;Товар без спроса
1997.0;3.0;60;Camembert Pierrot;1632;A;"0%";Волатильный товар
1997.0;4.0;60;Camembert Pierrot;3604;A;"121%";Волатильный товар
1997.0;5.0;60;Camembert Pierrot;1190;A;-67%;Одноразовый хит
1997.0;6.0;60;Camembert Pierrot;816;B;-31%;Одноразовый хит
1997.0;7.0;60;Camembert Pierrot;4250;A;"421%";Одноразовый хит
1997.0;8.0;60;Camembert Pierrot;1020;A;-76%;Одноразовый хит
1997.0;9.0;60;Camembert Pierrot;4590;A;"350%";Одноразовый хит
1997.0;10.0;60;Camembert Pierrot;340;C;-93%;Одноразовый хит
1997.0;11.0;60;Camembert Pierrot;2210;A;"550%";Одноразовый хит
1997.0;12.0;60;Camembert Pierrot;510;B;-77%;Одноразовый хит
1998.0;1.0;60;Camembert Pierrot;5304;A;"940%";Одноразовый хит
1998.0;2.0;60;Camembert Pierrot;3400;A;-36%;Одноразовый хит
1998.0;3.0;60;Camembert Pierrot;3740;A;"10%";Волатильный товар
1998.0;4.0;60;Camembert Pierrot;5916;A;"58%";Волатильный товар
1998.0;5.0;60;Camembert Pierrot;68;C;-99%;Одноразовый хит
1997.0;1.0;61;Sirop d'érable;365;B;"0%";Волатильный товар
1997.0;2.0;61;Sirop d'érable;2622;A;"619%";Волатильный товар
1997.0;4.0;61;Sirop d'érable;1140;A;-57%;Одноразовый хит
1997.0;5.0;61;Sirop d'érable;855;B;-25%;Одноразовый хит
1997.0;7.0;61;Sirop d'érable;3420;A;"300%";Одноразовый хит
1997.0;8.0;61;Sirop d'érable;570;B;-83%;Одноразовый хит
1997.0;10.0;61;Sirop d'érable;428;C;-25%;Одноразовый хит
1997.0;11.0;61;Sirop d'érable;570;B;"33%";Волатильный товар
1997.0;12.0;61;Sirop d'érable;570;B;"0%";Якорный товар
1998.0;1.0;61;Sirop d'érable;855;B;"50%";Якорный товар
1998.0;2.0;61;Sirop d'érable;1425;A;"67%";Волатильный товар
1998.0;3.0;61;Sirop d'érable;855;B;-40%;Одноразовый хит
1998.0;4.0;61;Sirop d'érable;2764;A;"223%";Одноразовый хит
1996.0;7.0;62;Tarte au sucre;591;A;"0%";Волатильный товар
1996.0;8.0;62;Tarte au sucre;2049;A;"247%";Якорный товар
1996.0;9.0;62;Tarte au sucre;4925;A;"140%";Волатильный товар
1996.0;10.0;62;Tarte au sucre;1103;A;-78%;Одноразовый хит
1996.0;12.0;62;Tarte au sucre;1182;A;"7%";Волатильный товар
1997.0;1.0;62;Tarte au sucre;2955;A;"150%";Волатильный товар
1997.0;2.0;62;Tarte au sucre;1379;A;-53%;Одноразовый хит
1997.0;4.0;62;Tarte au sucre;148;C;-89%;Одноразовый хит
1997.0;5.0;62;Tarte au sucre;2958;A;"1900%";Одноразовый хит
1997.0;6.0;62;Tarte au sucre;1725;A;-42%;Одноразовый хит
1997.0;7.0;62;Tarte au sucre;986;A;-43%;Одноразовый хит
1997.0;8.0;62;Tarte au sucre;4683;A;"375%";Одноразовый хит
1997.0;9.0;62;Tarte au sucre;493;B;-89%;Одноразовый хит
1997.0;10.0;62;Tarte au sucre;3352;A;"580%";Одноразовый хит
1997.0;11.0;62;Tarte au sucre;1923;A;-43%;Одноразовый хит
1997.0;12.0;62;Tarte au sucre;2071;A;"8%";Волатильный товар
1998.0;1.0;62;Tarte au sucre;4979;A;"140%";Волатильный товар
1998.0;2.0;62;Tarte au sucre;3007;A;-40%;Одноразовый хит
1998.0;3.0;62;Tarte au sucre;7691;A;"156%";Одноразовый хит
1998.0;4.0;62;Tarte au sucre;1627;B;-79%;Одноразовый хит
1996.0;8.0;63;Vegie-spread;456;B;"0%";Волатильный товар
1996.0;10.0;63;Vegie-spread;2808;A;"515%";Волатильный товар
1996.0;12.0;63;Vegie-spread;562;B;-80%;Одноразовый хит
1997.0;1.0;63;Vegie-spread;3510;A;"525%";Одноразовый хит
1997.0;6.0;63;Vegie-spread;263;B;-92%;Одноразовый хит
1997.0;7.0;63;Vegie-spread;1054;A;"300%";Одноразовый хит
1997.0;10.0;63;Vegie-spread;878;A;-17%;Одноразовый хит
1997.0;11.0;63;Vegie-spread;395;B;-55%;Одноразовый хит
1997.0;12.0;63;Vegie-spread;1317;A;"233%";Волатильный товар
1998.0;3.0;63;Vegie-spread;4610;A;"250%";Волатильный товар
1998.0;4.0;63;Vegie-spread;1844;A;-60%;Одноразовый хит
1996.0;8.0;64;Wimmers gute Semmelknödel;239;B;"0%";Волатильный товар
1996.0;10.0;64;Wimmers gute Semmelknödel;1330;A;"456%";Волатильный товар
1996.0;11.0;64;Wimmers gute Semmelknödel;931;A;-30%;Одноразовый хит
1996.0;12.0;64;Wimmers gute Semmelknödel;798;B;-14%;Товар без спроса
1997.0;1.0;64;Wimmers gute Semmelknödel;186;C;-77%;Одноразовый хит
1997.0;2.0;64;Wimmers gute Semmelknödel;1889;A;"914%";Одноразовый хит
1997.0;3.0;64;Wimmers gute Semmelknödel;1011;A;-46%;Одноразовый хит
1997.0;6.0;64;Wimmers gute Semmelknödel;1796;A;"78%";Одноразовый хит
1997.0;8.0;64;Wimmers gute Semmelknödel;299;C;-83%;Одноразовый хит
1997.0;9.0;64;Wimmers gute Semmelknödel;1430;A;"378%";Одноразовый хит
1997.0;11.0;64;Wimmers gute Semmelknödel;798;A;-44%;Одноразовый хит
1997.0;12.0;64;Wimmers gute Semmelknödel;1164;A;"46%";Волатильный товар
1998.0;1.0;64;Wimmers gute Semmelknödel;3691;A;"217%";Волатильный товар
1998.0;2.0;64;Wimmers gute Semmelknödel;1164;B;-68%;Одноразовый хит
1998.0;3.0;64;Wimmers gute Semmelknödel;399;C;-66%;Одноразовый хит
1998.0;4.0;64;Wimmers gute Semmelknödel;1496;B;"275%";Волатильный товар
1998.0;5.0;64;Wimmers gute Semmelknödel;4389;A;"193%";Волатильный товар
1996.0;7.0;65;Louisiana Fiery Hot Pepper Sauce;588;B;"0%";Товар без спроса
1996.0;9.0;65;Louisiana Fiery Hot Pepper Sauce;504;B;-14%;Одноразовый хит
1996.0;10.0;65;Louisiana Fiery Hot Pepper Sauce;672;B;"33%";Одноразовый хит
1996.0;11.0;65;Louisiana Fiery Hot Pepper Sauce;504;B;-25%;Одноразовый хит
1996.0;12.0;65;Louisiana Fiery Hot Pepper Sauce;336;C;-33%;Товар без спроса
1997.0;1.0;65;Louisiana Fiery Hot Pepper Sauce;336;C;"0%";Волатильный товар
1997.0;2.0;65;Louisiana Fiery Hot Pepper Sauce;1058;A;"215%";Якорный товар
1997.0;4.0;65;Louisiana Fiery Hot Pepper Sauce;1494;A;"41%";Волатильный товар
1997.0;5.0;65;Louisiana Fiery Hot Pepper Sauce;758;B;-49%;Одноразовый хит
1997.0;6.0;65;Louisiana Fiery Hot Pepper Sauce;631;B;-17%;Товар без спроса
1997.0;7.0;65;Louisiana Fiery Hot Pepper Sauce;253;C;-60%;Одноразовый хит
1997.0;8.0;65;Louisiana Fiery Hot Pepper Sauce;442;B;"75%";Волатильный товар
1997.0;9.0;65;Louisiana Fiery Hot Pepper Sauce;779;B;"76%";Якорный товар
1997.0;10.0;65;Louisiana Fiery Hot Pepper Sauce;1368;A;"76%";Волатильный товар
1997.0;11.0;65;Louisiana Fiery Hot Pepper Sauce;1052;A;-23%;Одноразовый хит
1997.0;12.0;65;Louisiana Fiery Hot Pepper Sauce;1726;A;"64%";Одноразовый хит
1998.0;1.0;65;Louisiana Fiery Hot Pepper Sauce;316;C;-82%;Одноразовый хит
1998.0;2.0;65;Louisiana Fiery Hot Pepper Sauce;1347;A;"327%";Одноразовый хит
1998.0;4.0;65;Louisiana Fiery Hot Pepper Sauce;442;C;-67%;Одноразовый хит
1996.0;9.0;66;Louisiana Hot Spiced Okra;408;B;"0%";Волатильный товар
1997.0;2.0;66;Louisiana Hot Spiced Okra;816;A;"100%";Якорный товар
1997.0;3.0;66;Louisiana Hot Spiced Okra;816;A;"0%";Волатильный товар
1997.0;4.0;66;Louisiana Hot Spiced Okra;136;C;-83%;Одноразовый хит
1997.0;5.0;66;Louisiana Hot Spiced Okra;408;B;"200%";Одноразовый хит
1997.0;9.0;66;Louisiana Hot Spiced Okra;68;C;-83%;Одноразовый хит
1997.0;12.0;66;Louisiana Hot Spiced Okra;850;B;"1150%";Одноразовый хит
1998.0;5.0;66;Louisiana Hot Spiced Okra;17;C;-98%;Одноразовый хит
1996.0;8.0;67;Laughing Lumberjack Lager;56;C;"0%";Волатильный товар
1997.0;4.0;67;Laughing Lumberjack Lager;420;B;"650%";Волатильный товар
1997.0;5.0;67;Laughing Lumberjack Lager;98;C;-77%;Одноразовый хит
1997.0;9.0;67;Laughing Lumberjack Lager;350;C;"257%";Одноразовый хит
1997.0;12.0;67;Laughing Lumberjack Lager;42;C;-88%;Одноразовый хит
1998.0;2.0;67;Laughing Lumberjack Lager;420;C;"900%";Волатильный товар
1998.0;3.0;67;Laughing Lumberjack Lager;896;B;"113%";Волатильный товар
1998.0;4.0;67;Laughing Lumberjack Lager;280;C;-69%;Одноразовый хит
1996.0;8.0;68;Scottish Longbreads;30;C;"0%";Волатильный товар
1996.0;9.0;68;Scottish Longbreads;380;B;"1167%";Волатильный товар
1996.0;10.0;68;Scottish Longbreads;240;C;-37%;Одноразовый хит
1996.0;12.0;68;Scottish Longbreads;680;B;"183%";Одноразовый хит
1997.0;1.0;68;Scottish Longbreads;660;B;-3%;Одноразовый хит
1997.0;2.0;68;Scottish Longbreads;210;C;-68%;Одноразовый хит
1997.0;3.0;68;Scottish Longbreads;300;B;"43%";Одноразовый хит
1997.0;4.0;68;Scottish Longbreads;75;C;-75%;Одноразовый хит
1997.0;5.0;68;Scottish Longbreads;688;B;"817%";Одноразовый хит
1997.0;8.0;68;Scottish Longbreads;412;B;-40%;Одноразовый хит
1997.0;9.0;68;Scottish Longbreads;125;C;-70%;Одноразовый хит
1997.0;10.0;68;Scottish Longbreads;1062;A;"750%";Одноразовый хит
1997.0;11.0;68;Scottish Longbreads;75;C;-93%;Одноразовый хит
1997.0;12.0;68;Scottish Longbreads;912;B;"1117%";Одноразовый хит
1998.0;1.0;68;Scottish Longbreads;550;B;-40%;Одноразовый хит
1998.0;2.0;68;Scottish Longbreads;725;B;"32%";Волатильный товар
1998.0;3.0;68;Scottish Longbreads;1000;B;"38%";Волатильный товар
1998.0;4.0;68;Scottish Longbreads;550;C;-45%;Одноразовый хит
1998.0;5.0;68;Scottish Longbreads;688;A;"25%";Одноразовый хит
1996.0;9.0;69;Gudbrandsdalsost;662;A;"0%";Волатильный товар
1996.0;11.0;69;Gudbrandsdalsost;1958;A;"196%";Волатильный товар
1996.0;12.0;69;Gudbrandsdalsost;1670;A;-15%;Одноразовый хит
1997.0;1.0;69;Gudbrandsdalsost;1008;A;-40%;Товар без спроса
1997.0;4.0;69;Gudbrandsdalsost;288;C;-71%;Одноразовый хит
1997.0;5.0;69;Gudbrandsdalsost;1008;A;"250%";Одноразовый хит
1997.0;6.0;69;Gudbrandsdalsost;360;B;-64%;Одноразовый хит
1997.0;7.0;69;Gudbrandsdalsost;3060;A;"750%";Одноразовый хит
1997.0;8.0;69;Gudbrandsdalsost;720;B;-76%;Одноразовый хит
1997.0;9.0;69;Gudbrandsdalsost;1620;A;"125%";Волатильный товар
1997.0;10.0;69;Gudbrandsdalsost;1980;A;"22%";Якорный товар
1997.0;11.0;69;Gudbrandsdalsost;4248;A;"115%";Волатильный товар
1997.0;12.0;69;Gudbrandsdalsost;864;B;-80%;Одноразовый хит
1998.0;2.0;69;Gudbrandsdalsost;1800;A;"108%";Одноразовый хит
1998.0;3.0;69;Gudbrandsdalsost;684;B;-62%;Одноразовый хит
1998.0;4.0;69;Gudbrandsdalsost;2376;A;"247%";Одноразовый хит
1996.0;7.0;70;Outback Lager;492;B;"0%";Волатильный товар
1996.0;9.0;70;Outback Lager;660;A;"34%";Якорный товар
1996.0;12.0;70;Outback Lager;720;B;"9%";Волатильный товар
1997.0;1.0;70;Outback Lager;96;C;-87%;Одноразовый хит
1997.0;2.0;70;Outback Lager;300;B;"212%";Волатильный товар
1997.0;3.0;70;Outback Lager;864;A;"188%";Волатильный товар
1997.0;4.0;70;Outback Lager;300;B;-65%;Одноразовый хит
1997.0;5.0;70;Outback Lager;105;C;-65%;Одноразовый хит
1997.0;7.0;70;Outback Lager;225;C;"114%";Волатильный товар
1997.0;8.0;70;Outback Lager;525;B;"133%";Якорный товар
1997.0;9.0;70;Outback Lager;600;B;"14%";Якорный товар
1997.0;10.0;70;Outback Lager;1740;A;"190%";Волатильный товар
1997.0;11.0;70;Outback Lager;600;B;-66%;Одноразовый хит
1997.0;12.0;70;Outback Lager;525;B;-12%;Одноразовый хит
1998.0;1.0;70;Outback Lager;1440;A;"174%";Одноразовый хит
1998.0;2.0;70;Outback Lager;1245;B;-14%;Одноразовый хит
1998.0;4.0;70;Outback Lager;1035;B;-17%;Товар без спроса
1996.0;8.0;71;Flotemysost;344;B;"0%";Товар без спроса
1996.0;9.0;71;Flotemysost;86;C;-75%;Одноразовый хит
1996.0;10.0;71;Flotemysost;1204;A;"1300%";Одноразовый хит
1996.0;11.0;71;Flotemysost;86;C;-93%;Одноразовый хит
1996.0;12.0;71;Flotemysost;2769;A;"3120%";Одноразовый хит
1997.0;1.0;71;Flotemysost;1290;A;-53%;Одноразовый хит
1997.0;2.0;71;Flotemysost;1410;A;"9%";Товар без спроса
1997.0;3.0;71;Flotemysost;206;C;-85%;Товар без спроса
1997.0;5.0;71;Flotemysost;194;C;-6%;Одноразовый хит
1997.0;7.0;71;Flotemysost;838;B;"333%";Волатильный товар
1997.0;8.0;71;Flotemysost;1398;A;"67%";Волатильный товар
1997.0;9.0;71;Flotemysost;559;B;-60%;Одноразовый хит
1997.0;10.0;71;Flotemysost;2537;A;"354%";Одноразовый хит
1997.0;12.0;71;Flotemysost;602;B;-76%;Одноразовый хит
1998.0;1.0;71;Flotemysost;1182;A;"96%";Волатильный товар
1998.0;2.0;71;Flotemysost;1182;B;"0%";Волатильный товар
1998.0;3.0;71;Flotemysost;752;B;-36%;Одноразовый хит
1998.0;4.0;71;Flotemysost;4236;A;"463%";Одноразовый хит
1996.0;7.0;72;Mozzarella di Giovanni;841;A;"0%";Волатильный товар
1996.0;8.0;72;Mozzarella di Giovanni;945;A;"12%";Волатильный товар
1996.0;9.0;72;Mozzarella di Giovanni;556;B;-41%;Одноразовый хит
1996.0;10.0;72;Mozzarella di Giovanni;2502;A;"350%";Одноразовый хит
1996.0;12.0;72;Mozzarella di Giovanni;2419;A;-3%;Одноразовый хит
1997.0;2.0;72;Mozzarella di Giovanni;1390;A;-43%;Товар без спроса
1997.0;4.0;72;Mozzarella di Giovanni;695;B;-50%;Одноразовый хит
1997.0;5.0;72;Mozzarella di Giovanni;1914;A;"175%";Одноразовый хит
1997.0;6.0;72;Mozzarella di Giovanni;1879;A;-2%;Одноразовый хит
1997.0;7.0;72;Mozzarella di Giovanni;418;B;-78%;Одноразовый хит
1997.0;8.0;72;Mozzarella di Giovanni;2610;A;"525%";Одноразовый хит
1997.0;11.0;72;Mozzarella di Giovanni;1462;A;-44%;Одноразовый хит
1997.0;12.0;72;Mozzarella di Giovanni;1392;A;-5%;Одноразовый хит
1998.0;1.0;72;Mozzarella di Giovanni;1914;A;"38%";Волатильный товар
1998.0;3.0;72;Mozzarella di Giovanni;3515;A;"84%";Волатильный товар
1998.0;4.0;72;Mozzarella di Giovanni;1288;B;-63%;Одноразовый хит
1996.0;8.0;73;Röd Kaviar;300;B;"0%";Товар без спроса
1997.0;1.0;73;Röd Kaviar;240;C;-20%;Товар без спроса
1997.0;3.0;73;Röd Kaviar;240;B;"0%";Волатильный товар
1997.0;5.0;73;Röd Kaviar;495;B;"106%";Волатильный товар
1997.0;6.0;73;Röd Kaviar;45;C;-91%;Одноразовый хит
1997.0;7.0;73;Röd Kaviar;450;B;"900%";Волатильный товар
1997.0;8.0;73;Röd Kaviar;525;B;"17%";Якорный товар
1997.0;9.0;73;Röd Kaviar;750;B;"43%";Якорный товар
1997.0;10.0;73;Röd Kaviar;750;B;"0%";Волатильный товар
